Latitude, Longitude, Data Value
85, 2, -999
85, 3, -999
85, 4, -999
85, 5, -999
85, 6, -999
85, 7, -999
85, 8, -999
85, 9, -999
85, 10, -999
85, 11, -999
85, 12, -999
85, 13, -999
85, 14, -999
85, 15, -999
85, 16, -999
85, 17, -999
85, 18, -999
85, 19, -999
85, 20, -999
85, 21, -999
85, 22, -999
85, 23, -999
85, 24, -999
85, 25, -999
85, 26, -999
85, 27, -999
85, 28, -999
85, 29, -999
85, 30, -999
85, 31, -999
85, 32, -999
85, 33, -999
85, 34, -999
85, 35, -999
85, 36, -999
85, 37, -999
85, 38, -999
85, 39, -999
85, 40, -999
85, 41, -999
85, 42, -999
85, 43, -999
85, 44, -999
85, 45, -999
85, 46, -999
85, 47, -999
85, 48, -999
85, 49, -999
85, 50, -999
85, 51, -999
85, 52, -999
85, 53, -999
85, 54, -999
85, 55, -999
85, 56, -999
85, 57, -999
85, 58, -999
85, 59, -999
85, 60, -999
85, 61, -999
85, 62, -999
85, 63, -999
85, 64, -999
85, 65, -999
85, 66, -999
85, 67, -999
85, 68, -999
85, 69, -999
85, 70, -999
85, 71, -999
85, 72, -999
85, 73, -999
85, 74, -999
85, 75, -999
85, 76, -999
85, 77, -999
85, 78, -999
85, 79, -999
85, 80, -999
85, 81, -999
85, 82, -999
85, 83, -999
85, 84, -999
85, 85, -999
85, 86, -999
85, 87, -999
85, 88, -999
85, 89, -999
85, 90, -999
85, 91, -999
85, 92, -999
85, 93, -999
85, 94, -999
85, 95, -999
85, 96, -999
85, 97, -999
85, 98, -999
85, 99, -999
85, 100, -999
85, 101, -999
85, 102, -999
85, 103, -999
85, 104, -999
85, 105, -999
85, 106, -999
85, 107, -999
85, 108, -999
85, 109, -999
85, 110, -999
85, 111, -999
85, 112, -999
85, 113, -999
85, 114, -999
85, 115, -999
85, 116, -999
85, 117, -999
85, 118, -999
85, 119, -999
85, 120, -999
85, 121, -999
85, 122, -999
85, 123, -999
85, 124, -999
85, 125, -999
85, 126, -999
85, 127, -999
85, 128, -999
85, 129, -999
85, 130, -999
85, 131, -999
85, 132, -999
85, 133, -999
85, 134, -999
85, 135, -999
85, 136, -999
85, 137, -999
85, 138, -999
85, 139, -999
85, 140, -999
85, 141, -999
85, 142, -999
85, 143, -999
85, 144, -999
85, 145, -999
85, 146, -999
85, 147, -999
85, 148, -999
85, 149, -999
85, 150, -999
85, 151, -999
85, 152, -999
85, 153, -999
85, 154, -999
85, 155, -999
85, 156, -999
85, 157, -999
85, 158, -999
85, 159, -999
85, 160, -999
85, 161, -999
85, 162, -999
85, 163, -999
85, 164, -999
85, 165, -999
85, 166, -999
85, 167, -999
85, 168, -999
85, 169, -999
85, 170, -999
85, 171, -999
85, 172, -999
85, 173, -999
85, 174, -999
85, 175, -999
85, 176, -999
85, 177, -999
85, 178, -999
85, 179, -999
85, 180, -999
